,nom,num_doc,role
0,Kortunov Andrei,1,Auteur
1,Bouyssou Rachel,1,Traducteur
2,Docquier Frédéric,2,Auteur
3,Rapoport Hillel ,2,Auteur
4,Chauvier Stéphane ,3,Auteur
5,Biraben Jean-Noël ,4,Auteur
6,HILLMANN Félicitas ,5,Auteur
7,Rudolph Hedwig,5,Auteur
8,Macharia Kinuthia,6,Auteur
9,Roussellier Nicolas ,7,Auteur
10,Lacroix Robert,8,Auteur
11,Timbal-Duclaux Louis ,9,Auteur
12,Schiff Maurice W,10,Auteur
13,Oteiza Enrique,11,Auteur
14,Daviet Sylvie ,12,Auteur
15,Broca Paul ,13,Auteur
16,Rallu Jean-Louis,14,Auteur
17,Bensimon Doris ,15,Auteur
18,Servoise René,16,Auteur
19,Parant Marc,17,Auteur
20,Viollier D,18,Auteur
21,Giguère Roland,19,Auteur
22,Thénon Luis,20,Auteur
23,Hawey Danielle,21,Auteur
24,Searle John R,22,Auteur
25,Duyckaerts Éric,22,Traducteur
26,Vallois Henri Victor ,23,Auteur
27,Vaudour-Faguet Bernard,24,Auteur
28,T,25,Auteur
29,Dris Cherif,26,Auteur
30,Bettahar Yamina ,27,Auteur
31,Salt John ,28,Auteur
32,Bondue Jean-Pierre,28,Traducteur
33,Milin Bosko,29,Auteur
34,Chouinard Daniel,30,Auteur
35,Schérer René ,31,Auteur
36,Emirkanian Louisette,32,Auteur
37,Chieze Emmanuel,32,Auteur
38,Dewitte Philippe ,33,Auteur
39,Morokvasic-Muller Mirjana,36,Auteur
40,Bellagh M,37,Auteur
41,Samrakandi Mohammed Habib,37,Auteur
42,Gabsi Abdallah,37,Auteur
43,Blanc Maurice ,38,Auteur
44,Ferréol Gilles ,38,Auteur
45,Santelli Emmanuelle ,38,Auteur
46,Venier Pascal ,38,Auteur
47,Audenrode Marc Van,39,Auteur
48,Sarramea Jean ,41,Auteur
49,Klein Jean ,42,Auteur
50,Moutsópoulos Euággelos A,43,Auteur
51,Boons Marie-Claire ,45,Auteur
52,Morin Stéphane,46,Auteur
53,Kemball Robin,47,Auteur
54,Formentelli Éliane,48,Auteur
55,Wihtol de Wenden Catherine ,49,Auteur
56,Harzoune Mustapha,50,Auteur
57,Morokvasic-Muller Mirjana,51,Auteur
58,Videau André,52,Auteur
59,Mandé Issiaka,53,Auteur
60,Valadeau Nicolas,55,Auteur
61,Boussard Jean-Marc ,56,Auteur
62,De Tinguy Anne,58,Auteur
63,Sibbille Jean-Paul,59,Auteur
64,Trevarthen Colwyn,60,Auteur
65,Timbal-Duclaux Louis ,61,Porteur de licence
66,Cordonnier Isabelle,62,Auteur
67,Dumas Michel,62,Auteur
68,De Montlibert Catherine,62,Auteur
69,Parant Marc,63,Auteur
70,Baudry de Vaux Marie des Neiges,64,Auteur
71,Ceccaldi Sylviane,64,Auteur
72,Crine Grégory,64,Auteur
73,de Lassus Isabelle,64,Auteur
74,Thévenot Magali,64,Auteur
75,Grumel Venance ,65,Auteur
76,Thuillier Jacques ,66,Auteur
77,Huchet Jean-François,67,Auteur
78,Goetz Rose,68,Auteur
79,Goulard Sylvie ,69,Auteur
80,Carter John Marshall,70,Auteur
81,Ozouf Mona ,71,Auteur
82,Burgos Erik,72,Auteur
83,Bettahar Yamina ,73,Auteur
84,Chevallier Dominique ,74,Auteur
85,Vichnevski A,75,Auteur
86,Zayontchkovskaia Jeanne,75,Auteur
87,Meillassoux Claude ,76,Auteur
88,Mougnok Cyprien Bassamagne,77,Auteur
89,Appel Violaine,78,Auteur
90,Weinstein Sidney,78,Auteur
91,Bouchereau Michèle,78,Auteur
92,Weinstein Curt,78,Traducteur
93,Garneau Stéphanie,79,Auteur
94,Mazzella Sylvie,79,Auteur
95,Gérard-Varet Louis-André ,80,Éditeur intellectuel
96,Abraham-Frois Gilbert,80,Éditeur intellectuel
97,Berthlemy Jean-Claude,80,Éditeur intellectuel
98,Morin Pierre ,80,Éditeur intellectuel
99,Mougeot Michel ,80,Éditeur intellectuel
100,Pollin Jean-Paul ,80,Éditeur intellectuel
101,Andreff Wladimir ,81,Auteur
102,Rakotonarivo Andonirina,82,Auteur
103,Lerat Serge ,83,Auteur
104,Kirakosyan Hasmik,84,Auteur
105,Obringer Frédéric,85,Auteur
106,Gipouloux François,86,Auteur
107,Pilon-Lé Lise,87,Auteur
108,Ditter Jean-Guillaume,88,Auteur
109,Gedeshi Ilir,88,Auteur
110,Reynaud Alain ,89,Auteur
111,Abry Christian ,90,Auteur
112,Joisten Alice,90,Auteur
113,Tinguy Anne de,91,Éditeur intellectuel
114,Wihtol de Wenden Catherine ,91,Éditeur intellectuel
115,Fouqueré Christophe,92,Auteur
116,Issac Fabrice,92,Auteur
117,Chevalier Maxime ,93,Auteur
118,Louapre Muriel,94,Auteur
119,Loock Christian,95,Auteur
120,Chikha Elisabeth,96,Auteur
121,Marois Claude,98,Auteur
122,Vichnevski A,99,Auteur
123,Zayontchkovskaia Jeanne,99,Auteur
124,Pieri C,100,Auteur
125,Zs-Nagy I,100,Auteur
126,Zs-Nagy V,100,Auteur
127,Giuli C,100,Auteur
128,Bertoni-Fredari C,100,Auteur
